State,epsilon,true_mean,true_median,true_stdev,dp_mean_laplace,dp_median_laplace,dp_stdev_laplace,dp_mean_gaussian,dp_median_gaussian,dp_stdev_gaussian,abs_err_mean_lap,abs_err_median_lap,abs_err_stdev_lap,abs_err_mean_gauss,abs_err_median_gauss,abs_err_stdev_gauss
New Jersey,0.05,89249.17429022082,79926.0,58062.17282559712,89513.41330172884,79506.35584447932,58130.984428295465,86470.31325179679,79703.01771968353,56399.34963034256,264.23901150801976,419.64415552068385,68.811602698348,2778.861038424031,222.9822803164716,1662.8231952545539
New Mexico,0.05,56187.235,43261.5,42956.05458333333,54136.21528048501,43873.57186768443,40911.281676479295,61725.558450925004,45680.63075582054,43549.82916793018,2051.0197195149885,612.0718676844335,2044.7729068540357,5538.323450925003,2419.130755820537,593.7745845968457
New York,0.05,75745.79503565805,60819.0,53001.25761785681,75366.91464472584,60795.0029460565,52882.614717483106,74097.84613840995,59959.50050587648,54894.30324535006,378.88039093221596,23.99705394350167,118.64290037370665,1647.948897248105,859.49949412352,1893.045627493244
North Carolina,0.05,58557.675663861875,43739.0,43952.42694787455,58971.00047196754,43934.91483554861,44268.71765878233,57792.18097209995,39840.427866110425,45287.73053084365,413.3248081056663,195.91483554861043,316.2907109077787,765.4946917619236,3898.5721338895746,1335.3035829690998
North Dakota,0.05,67635.42953586498,56572.0,48591.17130801688,68118.35658616755,62803.15165813211,43067.82469181878,81169.00217186978,22030.65660300864,48128.72093850193,482.92705030256184,6231.151658132112,5523.346616198098,13533.5726360048,34541.34339699136,462.45036951494694
Ohio,0.05,60080.73095732069,47907.5,42999.01192946058,61830.334936145046,47910.93618810288,42871.18808641065,57815.31603137352,48804.38248086277,41718.862250980026,1749.603978824358,3.436188102881715,127.8238430499332,2265.414925947167,896.8824808627687,1280.1496784805568
Oklahoma,0.05,56574.45679783469,42745.0,42770.957526545906,56043.30158908211,42467.586881299314,41622.44108751464,57261.97154852379,43998.35139804207,48507.51001335873,531.1552087525779,277.413118700686,1148.5164390312639,687.5147506891008,1253.3513980420685,5736.552486812827
Oregon,0.05,63958.41371280725,51082.0,46536.53505821475,62465.707430356924,49168.383450384965,48802.86251058033,62510.81711142889,53737.87308698876,44419.95970445108,1492.7062824503228,1913.6165496150352,2266.327452365578,1447.5966013783545,2655.8730869887586,2116.57535376367
Pennsylvania,0.05,65502.47090341834,52457.0,46881.80412371134,65530.61060417409,52156.82724612964,47027.14362909589,65592.4923274145,51508.39315892478,47990.687995353815,28.139700755753438,300.1727538703635,145.3395053845452,90.02142399615695,948.6068410752196,1108.8838716424725
Puerto Rico,0.05,27613.839736842107,17349.5,25314.11894736842,28042.370518282638,16199.41683285199,24218.881250727893,25013.595046524664,17725.490909953314,16813.20693900358,428.5307814405314,1150.08316714801,1095.2376966405282,2600.2446903174423,375.99090995331426,8500.912008364841
